,venue,innings,batting_team,bowling_team,batsmen,bowlers,total_run
0,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"SC Ganguly, BB McCullum, RT Ponting","P Kumar, Z Khan, AA Noffke",61
1,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,"PA Patel, ML Hayden, MEK Hussey","B Lee, S Sreesanth, JR Hopes",53
2,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,"T Kohli, YK Pathan, SR Watson, M Kaif","GD McGrath, B Geeves, MF Maharoof",40
3,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"L Ronchi, ST Jayasuriya, DJ Thornely, RV Uthappa, PR Shah","P Kumar, Z Khan, JH Kallis",47
4,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist, Y Venugopal Rao, VVS Laxman, A Symonds","AB Dinda, I Sharma, AB Agarkar",39
5,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,"K Goel, JR Hopes, KC Sangakkara","MM Patel, SR Watson, SK Trivedi",54
6,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,"AC Gilchrist, Y Venugopal Rao, VVS Laxman, A Symonds","GD McGrath, Mohammad Asif",25
7,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,"PA Patel, ML Hayden, MEK Hussey, SK Raina","SM Pollock, A Nehra, DS Kulkarni",53
8,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,"AC Gilchrist, VVS Laxman, Shahid Afridi, A Symonds","MM Patel, SR Watson, YK Pathan",58
9,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,"K Goel, IK Pathan, KC Sangakkara","SM Pollock, A Nehra, DS Kulkarni",60
10,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"S Chanderpaul, R Dravid, LRPL Taylor, JH Kallis","SR Watson, Sohail Tanvir, MM Patel",57
